Squad,# Pl,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,season,country
Union Berlin,30,28.1,42.9,33,23,56,30,3,6,67,7,40.1,35.3,25.0,60.3,389,1146,2023,GE
Werder Bremen,30,27.0,46.8,45,33,78,40,5,6,73,2,46.9,42.0,35.6,77.6,492,1172,2023,GE
Wolfsburg,28,25.6,48.0,41,27,68,39,2,3,86,5,39.2,36.7,28.5,65.2,441,1235,2023,GE
Atalanta,29,26.3,51.0,72,57,129,67,5,5,76,1,57.8,53.9,43.9,97.8,715,1754,2023,IT
Bologna,28,25.2,58.1,52,32,84,48,4,5,85,2,47.9,44.0,32.1,76.1,660,1453,2023,IT
Cagliari,29,26.1,42.1,41,30,71,37,4,6,77,4,42.9,38.4,29.1,67.5,529,1109,2023,IT
Empoli,34,26.0,44.0,26,19,45,21,5,5,88,1,36.2,32.4,25.8,58.3,524,1056,2023,IT
Fiorentina,30,27.0,57.4,60,41,101,56,4,8,80,0,51.7,45.4,35.3,80.7,621,1656,2023,IT
Frosinone,34,24.3,49.7,44,29,73,36,8,10,68,2,45.8,37.9,30.2,68.1,563,1326,2023,IT
Genoa,34,26.7,44.1,43,27,70,38,5,6,79,3,35.7,31.0,22.8,53.8,468,1079,2023,IT
Hellas Verona,36,25.7,44.4,38,29,67,35,3,7,88,6,38.0,32.4,27.2,59.6,539,1122,2023,IT
Inter,27,29.1,57.1,87,60,147,74,13,14,46,1,78.2,67.4,55.6,123.0,720,1620,2023,IT
Juventus,31,26.5,48.5,52,37,89,49,3,5,87,2,54.6,50.6,39.6,90.2,709,1473,2023,IT
Lazio,22,28.2,53.3,46,30,76,42,4,4,101,5,46.5,43.4,32.9,76.4,716,1528,2023,IT
Lecce,26,24.9,44.9,30,23,53,27,3,5,89,5,43.1,39.2,30.6,69.9,635,1183,2023,IT
Milan,35,26.6,56.9,76,56,132,70,6,8,82,8,66.2,60.0,46.0,106.0,898,1569,2023,IT
Monza,31,26.8,53.5,38,29,67,34,4,5,88,5,39.5,35.9,27.8,63.8,723,1248,2023,IT
Napoli,29,27.2,60.9,54,36,90,48,6,10,77,5,61.4,53.3,42.9,96.2,803,1758,2023,IT
Roma,30,27.7,54.9,64,44,108,53,11,12,95,3,51.4,42.3,34.4,76.7,682,1469,2023,IT
Salernitana,39,27.3,44.5,32,25,57,30,2,2,91,3,30.3,28.7,22.4,51.1,499,1119,2023,IT
Sassuolo,30,26.4,43.8,42,28,70,35,7,8,71,4,39.8,33.8,25.9,59.7,636,1301,2023,IT
Torino,30,26.4,51.6,35,29,64,33,2,2,75,2,37.7,36.1,30.1,66.2,710,1333,2023,IT
Udinese,32,25.7,39.3,36,23,59,33,3,4,94,5,39.1,36.8,28.0,64.9,601,1022,2023,IT
